route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A,1134_1,1134_1,Warszawa Śródmieście WKD,1134,1,0,1,1
A,1135_1,1135_1,Grodzisk Mazowiecki Radońska,1135,0,1,1,1
A,1136_1,1136_1,Warszawa Śródmieście WKD,1136,1,0,1,1
A,1137_1,1137_1,Grodzisk Mazowiecki Radońska,1137,0,1,1,1
A,1138_1,1138_1,Warszawa Śródmieście WKD,1138,1,0,1,1
A,1139_1,1139_1,Grodzisk Mazowiecki Radońska,1139,0,1,1,1
A,113_1,113_1,Grodzisk Mazowiecki Radońska,113,0,1,1,1
A,1140_1,1140_1,Warszawa Śródmieście WKD,1140,1,0,1,1
A,1141_1,1141_1,Grodzisk Mazowiecki Radońska,1141,0,1,1,1
A,1143_1,1143_1,Grodzisk Mazowiecki Radońska,1143,0,1,1,1
A,114_1,114_1,Warszawa Śródmieście WKD,114,1,0,1,1
A,115_1,115_1,Grodzisk Mazowiecki Radońska,115,0,1,1,1
A,116_1,116_1,Warszawa Śródmieście WKD,116,1,0,1,1
A,117_1,117_1,Grodzisk Mazowiecki Radońska,117,0,1,1,1
A,118_1,118_1,Warszawa Śródmieście WKD,118,1,0,1,1
A,119_1,119_1,Grodzisk Mazowiecki Radońska,119,0,1,1,1
A,120_1,120_1,Warszawa Śródmieście WKD,120,1,0,1,1
A,121_1,121_1,Grodzisk Mazowiecki Radońska,121,0,1,1,1
A,122_1,122_1,Warszawa Śródmieście WKD,122,1,0,1,1
A,123_1,123_1,Grodzisk Mazowiecki Radońska,123,0,1,1,1
A,124_1,124_1,Warszawa Śródmieście WKD,124,1,0,1,1
A,125_1,125_1,Grodzisk Mazowiecki Radońska,125,0,1,1,1
A,126_1,126_1,Warszawa Śródmieście WKD,126,1,0,1,1
A,127_1,127_1,Grodzisk Mazowiecki Radońska,127,0,1,1,1
A,128_1,128_1,Warszawa Śródmieście WKD,128,1,0,1,1
A,129_1,129_1,Grodzisk Mazowiecki Radońska,129,0,1,1,1
A,130_1,130_1,Warszawa Śródmieście WKD,130,1,0,1,1
A,131_1,131_1,Grodzisk Mazowiecki Radońska,131,0,1,1,1
A,132_1,132_1,Warszawa Śródmieście WKD,132,1,0,1,1
A,133_1,133_1,Grodzisk Mazowiecki Radońska,133,0,1,1,1
A,134_1,134_1,Warszawa Śródmieście WKD,134,1,0,1,1
A,135_1,135_1,Grodzisk Mazowiecki Radońska,135,0,1,1,1
A,136_1,136_1,Warszawa Śródmieście WKD,136,1,0,1,1
A,137_1,137_1,Grodzisk Mazowiecki Radońska,137,0,1,1,1
A,138_1,138_1,Warszawa Śródmieście WKD,138,1,0,1,1
A,139_1,139_1,Grodzisk Mazowiecki Radońska,139,0,1,1,1
A,140_1,140_1,Warszawa Śródmieście WKD,140,1,0,1,1
A,141_1,141_1,Grodzisk Mazowiecki Radońska,141,0,1,1,1
A,142_1,142_1,Warszawa Śródmieście WKD,142,1,0,1,1
A,143_1,143_1,Grodzisk Mazowiecki Radońska,143,0,1,1,1
A,144_1,144_1,Warszawa Śródmieście WKD,144,1,0,1,1
A,145_1,145_1,Grodzisk Mazowiecki Radońska,145,0,1,1,1
A,146_1,146_1,Warszawa Śródmieście WKD,146,1,0,1,1
A,147_1,147_1,Grodzisk Mazowiecki Radońska,147,0,1,1,1
A,148_1,148_1,Warszawa Śródmieście WKD,148,1,0,1,1
A,149_1,149_1,Grodzisk Mazowiecki Radońska,149,0,1,1,1
A,150_1,150_1,Warszawa Śródmieście WKD,150,1,0,1,1
A,151_1,151_1,Grodzisk Mazowiecki Radońska,151,0,1,1,1
A,152_1,152_1,Warszawa Śródmieście WKD,152,1,0,1,1
A,153_1,153_1,Grodzisk Mazowiecki Radońska,153,0,1,1,1
A,154_1,154_1,Warszawa Śródmieście WKD,154,1,0,1,1
A,155_1,155_1,Grodzisk Mazowiecki Radońska,155,0,1,1,1
A,156_1,156_1,Warszawa Śródmieście WKD,156,1,0,1,1
A,157_1,157_1,Grodzisk Mazowiecki Radońska,157,0,1,1,1
A,158_1,158_1,Warszawa Śródmieście WKD,158,1,0,1,1
A,159_1,159_1,Grodzisk Mazowiecki Radońska,159,0,1,1,1
A,160_1,160_1,Warszawa Śródmieście WKD,160,1,0,1,1
A,161_1,161_1,Grodzisk Mazowiecki Radońska,161,0,1,1,1
A,162_1,162_1,Warszawa Śródmieście WKD,162,1,0,1,1
A,163_1,163_1,Grodzisk Mazowiecki Radońska,163,0,1,1,1
A,164_1,164_1,Warszawa Śródmieście WKD,164,1,0,1,1
A,165_1,165_1,Grodzisk Mazowiecki Radońska,165,0,1,1,1
A,166_1,166_1,Warszawa Śródmieście WKD,166,1,0,1,1
A,167_1,167_1,Grodzisk Mazowiecki Radońska,167,0,1,1,1
A,168_1,168_1,Warszawa Śródmieście WKD,168,1,0,1,1
A,169_1,169_1,Grodzisk Mazowiecki Radońska,169,0,1,1,1
A,170_1,170_1,Warszawa Śródmieście WKD,170,1,0,1,1
A,171_1,171_1,Grodzisk Mazowiecki Radońska,171,0,1,1,1
A,172_1,172_1,Warszawa Śródmieście WKD,172,1,0,1,1
A,173_1,173_1,Grodzisk Mazowiecki Radońska,173,0,1,1,1
A,174_1,174_1,Warszawa Śródmieście WKD,174,1,0,1,1
A,175_1,175_1,Grodzisk Mazowiecki Radońska,175,0,1,1,1
A,176_1,176_1,Warszawa Śródmieście WKD,176,1,0,1,1
A,177_1,177_1,Grodzisk Mazowiecki Radońska,177,0,1,1,1
A,178_1,178_1,Warszawa Śródmieście WKD,178,1,0,1,1
A,179_1,179_1,Grodzisk Mazowiecki Radońska,179,0,1,1,1
A,180_1,180_1,Warszawa Śródmieście WKD,180,1,0,1,1
A,181_1,181_1,Grodzisk Mazowiecki Radońska,181,0,1,1,1
A,182_1,182_1,Warszawa Śródmieście WKD,182,1,0,1,1
A,183_1,183_1,Grodzisk Mazowiecki Radońska,183,0,1,1,1
A,184_1,184_1,Warszawa Śródmieście WKD,184,1,0,1,1
A,185_1,185_1,Grodzisk Mazowiecki Radońska,185,0,1,1,1
A,186_1,186_1,Warszawa Śródmieście WKD,186,1,0,1,1
A,187_1,187_1,Grodzisk Mazowiecki Radońska,187,0,1,1,1
A,188_1,188_1,Warszawa Śródmieście WKD,188,1,0,1,1
A,189_1,189_1,Grodzisk Mazowiecki Radońska,189,0,1,1,1
A,190_1,190_1,Warszawa Śródmieście WKD,190,1,0,1,1
A,191_1,191_1,Grodzisk Mazowiecki Radońska,191,0,1,1,1
A,192_1,192_1,Warszawa Śródmieście WKD,192,1,0,1,1
A,193_1,193_1,Grodzisk Mazowiecki Radońska,193,0,1,1,1
A,194_1,194_1,Warszawa Śródmieście WKD,194,1,0,1,1
A,195_1,195_1,Grodzisk Mazowiecki Radońska,195,0,1,1,1
A,196_1,196_1,Warszawa Śródmieście WKD,196,1,0,1,1
A,197_1,197_1,Grodzisk Mazowiecki Radońska,197,0,1,1,1
A,198_1,198_1,Warszawa Śródmieście WKD,198,1,0,1,1
A,199_1,199_1,Grodzisk Mazowiecki Radońska,199,0,1,1,1
A,2000_1,2000_1,Warszawa Śródmieście WKD,2000,1,2,1,1
A,2001_1,2001_1,Milanówek Grudów,2001,0,3,1,1
A,2002_1,2002_1,Warszawa Śródmieście WKD,2002,1,2,1,1
A,2003_1,2003_1,Milanówek Grudów,2003,0,3,1,1
A,2004_1,2004_1,Warszawa Śródmieście WKD,2004,1,2,1,1
A,2005_1,2005_1,Milanówek Grudów,2005,0,3,1,1
A,2006_1,2006_1,Warszawa Śródmieście WKD,2006,1,2,1,1
A,2007_1,2007_1,Milanówek Grudów,2007,0,3,1,1
A,2008_1,2008_1,Warszawa Śródmieście WKD,2008,1,2,1,1
A,2009_1,2009_1,Milanówek Grudów,2009,0,3,1,1
A,200_1,200_1,Warszawa Śródmieście WKD,200,1,2,1,1
A,2010_1,2010_1,Warszawa Śródmieście WKD,2010,1,2,1,1
A,2011_1,2011_1,Milanówek Grudów,2011,0,3,1,1
A,2012_1,2012_1,Warszawa Śródmieście WKD,2012,1,2,1,1
A,2013_1,2013_1,Milanówek Grudów,2013,0,3,1,1
A,2014_1,2014_1,Warszawa Śródmieście WKD,2014,1,2,1,1
A,2015_1,2015_1,Milanówek Grudów,2015,0,3,1,1
A,2016_1,2016_1,Warszawa Śródmieście WKD,2016,1,2,1,1
A,2017_1,2017_1,Milanówek Grudów,2017,0,3,1,1
A,2018_1,2018_1,Warszawa Śródmieście WKD,2018,1,2,1,1
A,2019_1,2019_1,Milanówek Grudów,2019,0,3,1,1
A,201_1,201_1,Milanówek Grudów,201,0,3,1,1
A,2020_1,2020_1,Warszawa Śródmieście WKD,2020,1,2,1,1
A,2021_1,2021_1,Milanówek Grudów,2021,0,3,1,1
A,2022_1,2022_1,Warszawa Śródmieście WKD,2022,1,2,1,1
A,2023_1,2023_1,Milanówek Grudów,2023,0,3,1,1
A,2024_1,2024_1,Warszawa Śródmieście WKD,2024,1,2,1,1
A,2025_1,2025_1,Milanówek Grudów,2025,0,3,1,1
A,2026_1,2026_1,Warszawa Śródmieście WKD,2026,1,2,1,1
A,2027_1,2027_1,Milanówek Grudów,2027,0,3,1,1
A,2028_1,2028_1,Warszawa Śródmieście WKD,2028,1,2,1,1
A,2029_1,2029_1,Milanówek Grudów,2029,0,3,1,1
A,202_1,202_1,Warszawa Śródmieście WKD,202,1,2,1,1
A,2030_1,2030_1,Warszawa Śródmieście WKD,2030,1,2,1,1
A,2031_1,2031_1,Milanówek Grudów,2031,0,3,1,1
A,2032_1,2032_1,Warszawa Śródmieście WKD,2032,1,2,1,1
A,2033_1,2033_1,Milanówek Grudów,2033,0,3,1,1
A,2034_1,2034_1,Warszawa Śródmieście WKD,2034,1,2,1,1
A,2035_1,2035_1,Milanówek Grudów,2035,0,3,1,1
A,2036_1,2036_1,Warszawa Śródmieście WKD,2036,1,2,1,1
A,2037_1,2037_1,Milanówek Grudów,2037,0,3,1,1
A,2038_1,2038_1,Warszawa Śródmieście WKD,2038,1,2,1,1
